reason,song,source_kind,source_file,bar_number,source_label_path,matched_pdf,detected_crops,source_labels,packaged_song_bars
crop_label_count_mismatch,The Trees Drum Tab by Rush Oct 20 2025,gp7,ml/data/songsterr/guitar_pro/The Trees Drum Tab by Rush Oct 20 2025.gp,28,ml/data/labels/The Trees Drum Tab by Rush Oct 20 2025_bar028.json,ml/data/songsterr/pdf/The Trees Drum Tab by Rush _ Songsterr Tabs with Rhythm.pdf,0,159,0
crop_label_count_mismatch,The Trees Drum Tab by Rush Oct 20 2025,gp7,ml/data/songsterr/guitar_pro/The Trees Drum Tab by Rush Oct 20 2025.gp,29,ml/data/labels/The Trees Drum Tab by Rush Oct 20 2025_bar029.json,ml/data/songsterr/pdf/The Trees Drum Tab by Rush _ Songsterr Tabs with Rhythm.pdf,0,159,0
crop_label_count_mismatch,The Trees Drum Tab by Rush Oct 20 2025,gp7,ml/data/songsterr/guitar_pro/The Trees Drum Tab by Rush Oct 20 2025.gp,30,ml/data/labels/The Trees Drum Tab by Rush Oct 20 2025_bar030.json,ml/data/songsterr/pdf/The Trees Drum Tab by Rush _ Songsterr Tabs with Rhythm.pdf,0,159,0
crop_label_count_mismatch,The Trees Drum Tab by Rush Oct 20 2025,gp7,ml/data/songsterr/guitar_pro/The Trees Drum Tab by Rush Oct 20 2025.gp,31,ml/data/labels/The Trees Drum Tab by Rush Oct 20 2025_bar031.json,ml/data/songsterr/pdf/The Trees Drum Tab by Rush _ Songsterr Tabs with Rhythm.pdf,0,159,0
crop_label_count_mismatch,The Trees Drum Tab by Rush Oct 20 2025,gp7,ml/data/songsterr/guitar_pro/The Trees Drum Tab by Rush Oct 20 2025.gp,32,ml/data/labels/The Trees Drum Tab by Rush Oct 20 2025_bar032.json,ml/data/songsterr/pdf/The Trees Drum Tab by Rush _ Songsterr Tabs with Rhythm.pdf,0,159,0
crop_label_count_mismatch,The Trees Drum Tab by Rush Oct 20 2025,gp7,ml/data/songsterr/guitar_pro/The Trees Drum Tab by Rush Oct 20 2025.gp,33,ml/data/labels/The Trees Drum Tab by Rush Oct 20 2025_bar033.json,ml/data/songsterr/pdf/The Trees Drum Tab by Rush _ Songsterr Tabs with Rhythm.pdf,0,159,0
crop_label_count_mismatch,The Trees Drum Tab by Rush Oct 20 2025,gp7,ml/data/songsterr/guitar_pro/The Trees Drum Tab by Rush Oct 20 2025.gp,34,ml/data/labels/The Trees Drum Tab by Rush Oct 20 2025_bar034.json,ml/data/songsterr/pdf/The Trees Drum Tab by Rush _ Songsterr Tabs with Rhythm.pdf,0,159,0
crop_label_count_mismatch,The Trees Drum Tab by Rush Oct 20 2025,gp7,ml/data/songsterr/guitar_pro/The Trees Drum Tab by Rush Oct 20 2025.gp,35,ml/data/labels/The Trees Drum Tab by Rush Oct 20 2025_bar035.json,ml/data/songsterr/pdf/The Trees Drum Tab by Rush _ Songsterr Tabs with Rhythm.pdf,0,159,0
crop_label_count_mismatch,The Trees Drum Tab by Rush Oct 20 2025,gp7,ml/data/songsterr/guitar_pro/The Trees Drum Tab by Rush Oct 20 2025.gp,36,ml/data/labels/The Trees Drum Tab by Rush Oct 20 2025_bar036.json,ml/data/songsterr/pdf/The Trees Drum Tab by Rush _ Songsterr Tabs with Rhythm.pdf,0,159,0
crop_label_count_mismatch,The Trees Drum Tab by Rush Oct 20 2025,gp7,ml/data/songsterr/guitar_pro/The Trees Drum Tab by Rush Oct 20 2025.gp,37,ml/data/labels/The Trees Drum Tab by Rush Oct 20 2025_bar037.json,ml/data/songsterr/pdf/The Trees Drum Tab by Rush _ Songsterr Tabs with Rhythm.pdf,0,159,0
